Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x01","power pad",4.600000,3.600000,0.000000,top
"J2","Conn_01x01","signal pad",4.600000,13.600000,0.000000,top
"J3","Conn_01x01","power pad",4.600000,23.600000,0.000000,top
"J4","Conn_01x01","power pad",975.700000,3.700000,0.000000,top
"J5","Conn_01x01","signal pad",975.700000,14.500000,0.000000,top
"J6","Conn_01x01","power pad",976.000000,23.700000,0.000000,top
"LED1","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",19.400000,9.600000,90.000000,top
"LED2","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",19.400000,17.600000,90.000000,top
"LED3","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",179.100000,9.600000,90.000000,top
"LED4","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",179.100000,17.600000,90.000000,top
"LED5","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",339.100000,9.650000,90.000000,top
"LED6","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",339.100000,17.600000,90.000000,top
"LED7","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",499.100000,9.600000,90.000000,top
"LED8","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",499.100000,17.600000,90.000000,top
"LED9","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",658.900000,9.700000,90.000000,top
"LED10","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",658.900000,17.700000,90.000000,top
"LED11","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",818.550000,9.775000,90.000000,top
"LED12","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",818.550000,17.775000,90.000000,top
"LED13","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",27.900000,9.600000,90.000000,top
"LED14","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",27.900000,17.600000,90.000000,top
"LED16","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",187.600000,17.600000,90.000000,top
"LED17","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",347.600000,9.650000,90.000000,top
"LED18","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",347.600000,17.600000,90.000000,top
"LED19","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",507.600000,9.600000,90.000000,top
"LED20","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",507.600000,17.600000,90.000000,top
"LED21","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",667.400000,9.700000,90.000000,top
"LED22","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",667.400000,17.700000,90.000000,top
"LED23","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",827.050000,9.775000,90.000000,top
"LED24","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",827.050000,17.775000,90.000000,top
"LED25","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",36.400000,9.600000,90.000000,top
"LED26","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",36.400000,17.600000,90.000000,top
"LED27","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",196.100000,9.600000,90.000000,top
"LED28","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",196.100000,17.600000,90.000000,top
"LED29","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",356.100000,9.650000,90.000000,top
"LED30","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",356.100000,17.600000,90.000000,top
"LED31","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",516.100000,9.600000,90.000000,top
"LED32","SPMWHD32AMH5XAU5SL","SPMWHD32AMH5XAU5SL",516.100000,17.600000,90.000000,top
