Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_01x01,power pad,4.5,3.5,0,top
J2,Conn_01x01,signal pad,4.5,13.5,0,top
J3,Conn_01x01,power pad,4.5,23.5,0,top
J4,Conn_01x01,power pad,955.5,3.5,0,top
J5,Conn_01x01,signal pad,955.5,13.5,0,top
J6,Conn_01x01,power pad,955.5,23.5,0,top
LED1,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,13.25,9,90,top
LED2,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,13.25,18,90,top
LED3,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,170.25,9,90,top
LED4,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,170.25,18,90,top
LED5,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,327.25,9,90,top
LED6,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,327.25,18,90,top
LED7,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,484.25,9,90,top
LED8,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,484.25,18,90,top
LED9,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,641.25,9,90,top
LED10,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,641.25,18,90,top
LED11,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,798.25,9,90,top
LED12,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,798.25,18,90,top
LED13,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,21.75,9,90,top
LED14,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,21.75,18,90,top
LED16,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,178.75,18,90,top
LED17,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,335.75,9,90,top
LED18,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,335.75,18,90,top
LED19,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,492.75,9,90,top
LED20,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,492.75,18,90,top
LED21,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,649.75,9,90,top
LED22,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,649.75,18,90,top
LED23,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,806.75,9,90,top
LED24,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,806.75,18,90,top
LED25,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,30.25,9,90,top
LED26,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,30.25,18,90,top
LED27,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,187.25,9,90,top
LED28,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,187.25,18,90,top
LED29,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,344.25,9,90,top
LED30,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,344.25,18,90,top
LED31,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,501.25,9,90,top
LED32,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,501.25,18,90,top
LED33,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,658.25,9,90,top
LED34,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,658.25,18,90,top
LED35,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,815.25,9,90,top
LED36,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,815.25,18,90,top
LED37,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,38.75,9,90,top
LED38,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,38.75,18,90,top
LED39,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,195.75,9,90,top
LED40,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,195.75,18,90,top
LED41,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,352.75,9,90,top
LED42,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,352.75,18,90,top
LED43,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,509.75,9,90,top
LED44,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,509.75,18,90,top
LED45,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,666.75,9,90,top
LED46,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,666.75,18,90,top
LED47,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,823.75,9,90,top
LED48,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,823.75,18,90,top
LED49,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,47.25,9,90,top
LED50,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,47.25,18,90,top
LED51,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,204.25,9,90,top
LED52,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,204.25,18,90,top
LED53,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,361.25,9,90,top
LED54,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,361.25,18,90,top
LED55,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,518.25,9,90,top
LED56,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,518.25,18,90,top
LED57,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,675.25,9,90,top
LED58,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,675.25,18,90,top
LED59,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,832.25,9,90,top
LED60,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,832.25,18,90,top
LED61,L1SP-DRD0002800000,L1SP-DRD0002800000,55.75,9,180,top
LED62,L1SP-DRD0002800000,L1SP-DRD0002800000,55.75,18,180,top
LED63,L1SP-DRD0002800000,L1SP-DRD0002800000,212.75,9,180,top
LED64,L1SP-DRD0002800000,L1SP-DRD0002800000,212.75,18,180,top
LED65,L1SP-DRD0002800000,L1SP-DRD0002800000,369.75,9,180,top
LED66,L1SP-DRD0002800000,L1SP-DRD0002800000,369.75,18,180,top
LED67,L1SP-DRD0002800000,L1SP-DRD0002800000,526.75,9,180,top
LED68,L1SP-DRD0002800000,L1SP-DRD0002800000,526.75,18,180,top
LED69,L1SP-DRD0002800000,L1SP-DRD0002800000,683.75,9,180,top
LED70,L1SP-DRD0002800000,L1SP-DRD0002800000,683.75,18,180,top
LED71,L1SP-DRD0002800000,L1SP-DRD0002800000,840.75,9,180,top
LED72,L1SP-DRD0002800000,L1SP-DRD0002800000,840.75,18,180,top
LED73,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,64.25,9,90,top
LED74,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,64.25,18,90,top
LED75,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,221.25,9,90,top
LED76,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,221.25,18,90,top
LED77,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,378.25,9,90,top
LED78,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,378.25,18,90,top
LED79,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,535.25,9,90,top
LED80,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,535.25,18,90,top
LED81,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,692.25,9,90,top
LED82,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,692.25,18,90,top
LED83,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,849.25,9,90,top
LED84,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,849.25,18,90,top
LED85,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,72.75,9,90,top
LED86,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,72.75,18,90,top
LED87,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,229.75,9,90,top
LED88,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,229.75,18,90,top
LED89,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,386.75,9,90,top
LED90,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,386.75,18,90,top
LED91,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,543.75,9,90,top
LED92,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,543.75,18,90,top
LED93,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,700.75,9,90,top
LED94,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,700.75,18,90,top
LED95,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,857.75,9,90,top
LED96,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,857.75,18,90,top
LED97,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,81.25,9,90,top
LED98,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,81.25,18,90,top
LED99,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,238.25,9,90,top
LED100,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,238.25,18,90,top
LED101,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,395.25,9,90,top
LED102,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,395.25,18,90,top
LED103,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,552.25,9,90,top
LED104,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,552.25,18,90,top
LED105,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,709.25,9,90,top
LED106,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,709.25,18,90,top
LED107,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,866.25,9,90,top
LED108,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,866.25,18,90,top
LED109,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,89.75,9,90,top
LED110,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,89.75,18,90,top
LED111,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,246.75,9,90,top
LED112,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,246.75,18,90,top
LED113,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,403.75,9,90,top
LED114,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,403.75,18,90,top
LED115,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,560.75,9,90,top
LED116,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,560.75,18,90,top
LED117,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,717.75,9,90,top
LED118,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,717.75,18,90,top
LED119,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,874.75,9,90,top
LED120,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,874.75,18,90,top
LED121,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,98.25,9,90,top
LED122,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,98.25,18,90,top
LED123,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,255.25,9,90,top
LED124,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,255.25,18,90,top
LED125,SPMWHD32AMH5XAU5SL,SPMWHD32AMH5XAU5SL,412.25,9,90,top
